Google: 148 1  	 Gene:100 4
Google: 191 1  	 Gene:72 3
Google: 377 1  	 Gene:94 3
Google: 201 2  	 Gene:48 3
Google: 220 1  	 Gene:218 3
Google: 229 1  	 Gene:229 2
Google: 221 1  	 Gene:221 2
Google: 153 1  	 Gene:136 3
Google: 75 4  	 Gene:194 1
Google: 126 4  	 Gene:185 1
Google: 278 3  	 Gene:174 4
Google: 221 2  	 Gene:51 3
Google: 159 1  	 Gene:45 4
Google: 252 1  	 Gene:44 4
Google: 196 1  	 Gene:49 4
Google: 370 3  	 Gene:44 4
Google: 315 3  	 Gene:106 4
Google: 131 1  	 Gene:131 2
Google: 82 1  	 Gene:45 4
Google: 132 1  	 Gene:78 3
Google: 99 1  	 Gene:43 4
Google: 79 1  	 Gene:78 3
Google: 260 3  	 Gene:87 4
Google: 254 2  	 Gene:144 3
Google: 178 2  	 Gene:167 3
Google: 245 3  	 Gene:108 4
Google: 91 4  	 Gene:230 3
Google: 110 4  	 Gene:230 3
Google: 285 3  	 Gene:106 4
Google: 227 3  	 Gene:144 4
Google: 217 3  	 Gene:101 4
Google: 238 3  	 Gene:152 4
Google: 220 3  	 Gene:94 4
Google: 101 3  	 Gene:169 1
Google: 83 3  	 Gene:237 1
Google: 154 1  	 Gene:154 2
Google: 100 3  	 Gene:153 1
Google: 82 3  	 Gene:338 1
Google: 204 3  	 Gene:111 4
Google: 256 2  	 Gene:256 1
Google: 238 1  	 Gene:238 2
Google: 89 4  	 Gene:216 3
Google: 221 3  	 Gene:70 4
Google: 81 4  	 Gene:212 2
Google: 88 4  	 Gene:296 3
Google: 87 4  	 Gene:169 3
Google: 158 4  	 Gene:247 3
Google: 285 3  	 Gene:99 4
Google: 164 1  	 Gene:56 4
Google: 173 1  	 Gene:57 4
Google: 120 3  	 Gene:47 4
Google: 43 4  	 Gene:320 1
Google: 310 3  	 Gene:50 4
Google: 187 3  	 Gene:132 4
Google: 154 3  	 Gene:203 2
Google: 59 4  	 Gene:182 2
Google: 86 4  	 Gene:162 2
Google: 196 3  	 Gene:87 4
Google: 103 4  	 Gene:149 2
Google: 179 2  	 Gene:158 3
Google: 154 4  	 Gene:327 1
Google: 206 1  	 Gene:115 4
Google: 100 4  	 Gene:218 1
Google: 83 4  	 Gene:268 1
Google: 166 1  	 Gene:102 4
Google: 200 3  	 Gene:77 4
Google: 200 3  	 Gene:103 4
Google: 281 3  	 Gene:76 4
Google: 190 2  	 Gene:128 3
Google: 168 2  	 Gene:155 3
Google: 138 3  	 Gene:88 4
Google: 172 3  	 Gene:82 4
Google: 268 1  	 Gene:268 2
Google: 153 3  	 Gene:190 1
Google: 240 1  	 Gene:185 3
Google: 111 4  	 Gene:163 1
Google: 195 3  	 Gene:195 1
