E01	0.42866617349878516,0.020996349960960912,0.5951569661039416,0.6135336512690417,0.40440963230191695,0.6093753586853742,0.3742897568608773,0.6818529923565275,												
E02	0.023031400282765718,0.288583879303044,0.7813751517804515,0.46473260901051044,0.36669663203870606,0.7900392616452466,0.2300694619228707,0.34710000376167904,												
E03	0.007751828879710811,0.4004256871225212,0.3040806691061873,0.5715829119547758,0.48882347986611524,0.7531843382468174,0.17879672907929006,0.4135356841476962,												
E04	0.00865643416174294,0.13013017516184602,0.5942214326636988,0.4606014377471249,0.4291740228879596,0.7313944209624611,0.7437535147295122,0.4801369984054713,												
E05	0.15873361840070377,0.19245540672612174,0.5272372731688297,0.7574950105654106,0.35912020144138984,0.2288179671216604,0.923966384059881,0.6269960155327602,												
E06	0.15873361840070377,0.19245540672612174,0.5272372731688297,0.7574950105654106,0.35912020144138984,0.2288179671216604,0.923966384059881,0.6269960155327602,												
E07	0.4827950276485812,0.05327803304277653,0.05423813065856037,0.1962467989575315,0.18804641377935696,0.7122540096707128,0.08645176336491368,0.5868439567098888,												
E08	0.01798830002878981,0.0589919310326945,0.5095445636693665,0.13954369278880815,0.23273726269551936,0.7332158071928045,0.5894601955924742,0.9740553181473641,												
E09	0.49953971129076213,0.2455070545305153,0.5512142832806787,0.6118190061522651,0.2689422957379329,0.7111120183561702,0.7632524872112635,0.8835856889355379,												
E10	0.09978267816749446,0.23032668116070584,0.06446668711729682,0.3145662812995889,0.6783974914572055,0.7306356321118216,0.6645303530434207,0.7107283003587886,												
E11	0.08317899775001202,0.269328559584938,0.4519700602812491,0.5126615605318623,0.4497052379606489,0.7193258268820903,0.42479491894001076,0.42518150038686914,												
E12	0.40614755621904564,0.008947907619556822,0.459490372961674,0.133516444428475,0.09933458974225966,0.6902334978297044,0.6125091436443066,0.4013289257589658,												
E13	0.0027405859071194458,0.399694097996913,0.531066490957737,0.5252463108459591,0.44151805029313607,0.7665458292633865,0.31765908013562244,0.7241157602163053,												
E14	0.1952137327257209,0.34166639022401857,0.30853399836490764,0.6524125820198226,0.04900070130282645,0.6846209417530463,0.5674632927285976,0.5595531263396434,												
E15	0.034907932776653834,0.11822246346561921,0.8280008862519138,0.6861023706620188,0.6463652786783257,0.7702612647882575,0.4674416688335924,0.5560812601595692,												
